match_id,Mean_Price,Median_Price,Std_Price,Min_Price,Max_Price,Store_Count,Product_Name,Category,Brand,Median_Quantity,Price_Range,Price_Spread_Ratio,CV,IQR
9514,3750.0,3750.0,0.0,3750.0,3750.0,1,POPNOSH MOVIE THEATER 40 GM,Snacks & Confectioneries,pop nosh,0.04,0.0,1.0,0.0,0.0
9515,2790.0,2790.0,0.0,2790.0,2790.0,1,REANA ORGANIC MUESLI SWISS STYLE 500 GM,Breakfast,reana,0.5,0.0,1.0,0.0,0.0
9516,2780.0,2780.0,0.0,2780.0,2780.0,1,REANA ORGANIC MUESLI 250 GM,Breakfast,reana,0.25,0.0,1.0,0.0,0.0
9517,2600.0,2600.0,0.0,2600.0,2600.0,1,ECO MUESLI SWISS STYLE 250 GM,Breakfast,eco,0.25,0.0,1.0,0.0,0.0
9518,2590.0,2590.0,0.0,2590.0,2590.0,1,ECO MUESLI SWISS STYLE BOX 500GM,Breakfast,eco,0.5,0.0,1.0,0.0,0.0
9519,3900.0,3900.0,0.0,3900.0,3900.0,1,ALPEN CEREAL ORIGINAL SWISS STYLE MUESLI 550 GM,Breakfast,alpen cereal,0.55,0.0,1.0,0.0,0.0
9520,3080.0,3080.0,0.0,3080.0,3080.0,1,DAALI MUESLI SUGAR FREE 250 GM,Breakfast,daali,0.25,0.0,1.0,0.0,0.0
9521,2750.0,2750.0,0.0,2750.0,2750.0,1,ECO MUESLI (SWISS STYLE) 100GM,Breakfast,eco,0.1,0.0,1.0,0.0,0.0
9522,2628.57,2628.57,0.0,2628.57,2628.57,1,ECO MUESLI (SWISS STYLE) 175GM,Breakfast,eco,0.175,0.0,1.0,0.0,0.0
9523,3853.33,3853.33,0.0,3853.33,3853.33,1,ALPEN CEREAL ORIGINAL MUESLI 375 GM,Breakfast,alpen cereal,0.375,0.0,1.0,0.0,0.0
9524,2390.0,2390.0,0.0,2390.0,2390.0,1,ECO MUESLI (SWISS STYLE) 500GM,Breakfast,eco,0.5,0.0,1.0,0.0,0.0
9525,124.75,124.75,0.0,124.75,124.75,1,AROMA PLAIN MUFFIN 4PC,Breakfast,aroma,4.0,0.0,1.0,0.0,0.0
9527,37.81,37.81,0.0,37.81,37.81,1,K&N MUGHLAI TIKKA 29 TO 32 PCS 515 GM,Food & Beverages,k & n,32.0,0.0,1.0,0.0,0.0
9528,5980.0,5980.0,0.0,5980.0,5980.0,1,RAI MULATHAI POWDER 50GM,Cooking Ingredients,rai,0.05,0.0,1.0,0.0,0.0
9529,1500.0,1500.0,0.0,1500.0,1500.0,1,MULATHY 50 GM,Cooking Ingredients,al-fatah,0.05,0.0,1.0,0.0,0.0
9530,2.49,2.49,0.0,2.49,2.49,1,OK Multi Purpose Wipes 80 PCS,,ok,80.0,0.0,1.0,0.0,0.0
9531,5250.0,5250.0,0.0,5250.0,5250.0,1,TIVA MULTICOLOR STICKS 80 GM,Snacks & Confectioneries,tiva,0.08,0.0,1.0,0.0,0.0
9533,534.77,534.77,0.0,534.77,534.77,1,Tang Powder Pouch Musambi 375 GM,,tang,0.375,0.0,1.0,0.0,0.0
9534,4269.52,4269.52,0.0,4269.52,4269.52,1,AMERICAN GARDEN PASTA SAUCE MUSHROOM 397 GM,Cooking Ingredients,american garden,0.397,0.0,1.0,0.0,0.0
9535,1532.58,1532.58,0.0,1532.58,1532.58,1,NATURELLE MUSHROOM PICKLE 330GM,Food & Beverages,naturelle,0.33,0.0,1.0,0.0,0.0
9536,1658.33,1658.33,0.0,1658.33,1658.33,1,HEINZ SHITAKE MUSHROOM SAUCE 600 GM,Cooking Ingredients,heinz,0.6,0.0,1.0,0.0,0.0
9537,1916.67,1916.67,0.0,1916.67,1916.67,1,JKS MUSHROOM SLICE 300GM,Food & Beverages,jks,0.3,0.0,1.0,0.0,0.0
9538,1042.42,1042.42,0.0,1042.42,1042.42,1,DEWDROP SLICED MUSHROOM 330G,,dewdrop,0.33,0.0,1.0,0.0,0.0
9539,962.5,962.5,0.0,962.5,962.5,1,FRUITAMIN MUSHROOM SLICES 400 GM,Food & Beverages,fruitamin,0.4,0.0,1.0,0.0,0.0
9540,721.28,721.28,0.0,721.28,721.28,1,DEW DROP MUSHROOM PIECES AND STEMS TIN 2350 GM,Food & Beverages,dew drop,2.35,0.0,1.0,0.0,0.0
9541,837.5,837.5,0.0,837.5,837.5,1,GREEN FARM MUSHROOM PIECES AND STEMS 400 GM,Food & Beverages,green farm,0.4,0.0,1.0,0.0,0.0
9542,1075.0,1075.0,43.30127018922193,1037.5,1112.5,1,GREEN FARM MUSHROOM WHOLE TIN 400 GM,Food & Beverages,green farm,0.4,75.0,1.072289156626506,0.0402802513388111,75.0
9544,7071.43,7071.43,0.0,7071.43,7071.43,1,KOKA NOODLES MUSHROOMS 70 GM,Food & Beverages,koka,0.07,0.0,1.0,0.0,0.0
9545,1112.5,1112.5,0.0,1112.5,1112.5,1,NERCISSUS MUSHROOMS SLICE TIN 400 GM,Food & Beverages,nercissus,0.4,0.0,1.0,0.0,0.0
9546,768.75,768.75,0.0,768.75,768.75,1,NARCISSUS MUSHROOMS SLICE TIN 2400 GM,Food & Beverages,narcissus,2.4,0.0,1.0,0.0,0.0
9547,1500.0,1500.0,0.0,1500.0,1500.0,1,NERCISSUS MUSHROOMS SLICE 330 GM,Food & Beverages,nercissus,0.33,0.0,1.0,0.0,0.0
9548,737.5,737.5,0.0,737.5,737.5,1,SUNGOLD SLICED MUSHROOMS 400 GM,Food & Beverages,sungold,0.4,0.0,1.0,0.0,0.0
9549,698.33,698.33,0.0,698.33,698.33,1,SUNGOLD SLICED MUSHROOMS3000 GM,Food & Beverages,sungold,3.0,0.0,1.0,0.0,0.0
9550,814.29,814.29,0.0,814.29,814.29,1,DEW DROP MUSHROOMS PIECES AND STEMS 350 GM,Food & Beverages,dew drop,0.35,0.0,1.0,0.0,0.0
9551,712.5,712.5,0.0,712.5,712.5,1,SUNGOLD STEMS & PCS MUSHROOMS 400 GM,Food & Beverages,sungold,0.4,0.0,1.0,0.0,0.0
9552,665.0,665.0,0.0,665.0,665.0,1,SUNGOLD STEMS & PCS MUSHROOMS 3000 GM,Food & Beverages,sungold,3.0,0.0,1.0,0.0,0.0
9553,800.0,800.0,0.0,800.0,800.0,1,SUNGOLD WHOLE MUSHROOMS400 GM,Food & Beverages,sungold,0.4,0.0,1.0,0.0,0.0
9554,731.67,731.67,0.0,731.67,731.67,1,SUNGOLD WHOLE MUSHROOMS 3000 GM,Food & Beverages,sungold,3.0,0.0,1.0,0.0,0.0
9555,6668.77,6668.77,0.0,6668.77,6668.77,1,HEINZ YELLOW MUSTARD 100% NATURAL 794G,Cooking Ingredients,heinz,0.794,0.0,1.0,0.0,0.0
9556,3502.2,3502.2,0.0,3502.2,3502.2,1,AMERICAN GARDEN MUSTARD PASTE 227 GM,Cooking Ingredients,american garden,0.227,0.0,1.0,0.0,0.0
9557,1300.0,1300.0,0.0,1300.0,1300.0,1,ECO MUSTARD POWDER 50GM,Cooking Ingredients,eco,0.05,0.0,1.0,0.0,0.0
